Wavelength,Reflectance
534.300,0.929113
534.400,0.929104
534.500,0.929095
534.600,0.929085
534.700,0.929076
534.800,0.929068
534.900,0.929058
535.000,0.929049
535.100,0.929040
535.200,0.929031
535.300,0.929021
535.400,0.929012
535.500,0.929003
535.600,0.928993
535.700,0.928984
535.800,0.928974
535.900,0.928965
536.000,0.928955
536.100,0.928945
536.200,0.928937
536.300,0.928927
536.400,0.928917
536.500,0.928908
536.600,0.928898
536.700,0.928889
536.800,0.928878
536.900,0.928869
537.000,0.928859
537.100,0.928850
537.200,0.928840
537.300,0.928830
537.400,0.928820
537.500,0.928810
537.600,0.928800
537.700,0.928790
537.800,0.928780
537.900,0.928771
538.000,0.928760
538.100,0.928750
538.200,0.928740
538.300,0.928730
538.400,0.928720
538.500,0.928709
538.600,0.928699
538.700,0.928689
538.800,0.928679
538.900,0.928668
539.000,0.928658
539.100,0.928647
539.200,0.928637
539.300,0.928625
539.400,0.928616
539.500,0.928605
539.600,0.928595
539.700,0.928584
539.800,0.928573
539.900,0.928562
540.000,0.928551
540.100,0.928540
540.200,0.928529
540.300,0.928518
540.400,0.928507
540.500,0.928496
540.600,0.928485
540.700,0.928473
540.800,0.928462
540.900,0.928451
541.000,0.928440
541.100,0.928429
541.200,0.928417
541.300,0.928406
541.400,0.928394
541.500,0.928382
541.600,0.928371
541.700,0.928358
541.800,0.928347
541.900,0.928334
542.000,0.928323
542.100,0.928311
542.200,0.928299
542.300,0.928287
542.400,0.928275
542.500,0.928262
542.600,0.928251
542.700,0.928238
542.800,0.928226
542.900,0.928213
543.000,0.928201
543.100,0.928187
543.200,0.928174
543.300,0.928162
543.400,0.928149
543.500,0.928136
543.600,0.928122
543.700,0.928110
543.800,0.928096
543.900,0.928084
544.000,0.928069
544.100,0.928056
544.200,0.928043
544.300,0.928029
544.400,0.928014
544.500,0.928001
544.600,0.927986
544.700,0.927972
544.800,0.927957
544.900,0.927942
545.000,0.927928
545.100,0.927913
545.200,0.927898
545.300,0.927884
545.400,0.927869
545.500,0.927854
545.600,0.927838
545.700,0.927823
545.800,0.927808
545.900,0.927791
546.000,0.927775
546.100,0.927759
546.200,0.927743
546.300,0.927726
546.400,0.927710
546.500,0.927693
546.600,0.927677
546.700,0.927660
546.800,0.927643
546.900,0.927627
547.000,0.927610
547.100,0.927592
547.200,0.927575
547.300,0.927558
547.400,0.927539
547.500,0.927521
547.600,0.927503
547.700,0.927485
547.800,0.927466
547.900,0.927447
548.000,0.927428
548.100,0.927409
548.200,0.927390
548.300,0.927371
548.400,0.927352
548.500,0.927332
548.600,0.927312
548.700,0.927293
548.800,0.927272
548.900,0.927252
549.000,0.927232
549.100,0.927210
549.200,0.927189
549.300,0.927167
549.400,0.927146
549.500,0.927124
549.600,0.927102
549.700,0.927080
549.800,0.927058
549.900,0.927036
550.000,0.927013
550.100,0.926991
550.200,0.926968
550.300,0.926945
550.400,0.926923
550.500,0.926897
550.600,0.926874
550.700,0.926849
550.800,0.926825
550.900,0.926799
551.000,0.926774
551.100,0.926749
551.200,0.926723
551.300,0.926697
551.400,0.926672
551.500,0.926646
551.600,0.926619
551.700,0.926593
551.800,0.926567
551.900,0.926540
552.000,0.926513
552.100,0.926484
552.200,0.926457
552.300,0.926427
552.400,0.926398
552.500,0.926369
552.600,0.926339
552.700,0.926310
552.800,0.926280
552.900,0.926251
553.000,0.926220
553.100,0.926190
553.200,0.926160
553.300,0.926128
553.400,0.926098
553.500,0.926067
553.600,0.926034
553.700,0.926001
553.800,0.925969
553.900,0.925935
554.000,0.925901
554.100,0.925868
554.200,0.925833
554.300,0.925798
554.400,0.925764
554.500,0.925730
