Wavelength,Reflectance
527.800,0.797784
527.900,0.797755
528.000,0.797728
528.100,0.797702
528.200,0.797675
528.300,0.797647
528.400,0.797620
528.500,0.797593
528.600,0.797568
528.700,0.797538
528.800,0.797511
528.900,0.797485
529.000,0.797458
529.100,0.797428
529.200,0.797402
529.300,0.797374
529.400,0.797348
529.500,0.797318
529.600,0.797290
529.700,0.797263
529.800,0.797237
529.900,0.797207
530.000,0.797180
530.100,0.797153
530.200,0.797126
530.300,0.797096
530.400,0.797068
530.500,0.797042
530.600,0.797014
530.700,0.796984
530.800,0.796956
530.900,0.796928
531.000,0.796901
531.100,0.796871
531.200,0.796842
531.300,0.796814
531.400,0.796784
531.500,0.796756
531.600,0.796729
531.700,0.796701
531.800,0.796671
531.900,0.796643
532.000,0.796615
532.100,0.796587
532.200,0.796556
532.300,0.796527
532.400,0.796499
532.500,0.796471
532.600,0.796440
532.700,0.796411
532.800,0.796383
532.900,0.796355
533.000,0.796323
533.100,0.796295
533.200,0.796265
533.300,0.796237
533.400,0.796205
533.500,0.796176
533.600,0.796147
533.700,0.796118
533.800,0.796085
533.900,0.796056
534.000,0.796027
534.100,0.795998
534.200,0.795966
534.300,0.795936
534.400,0.795907
534.500,0.795877
534.600,0.795844
534.700,0.795814
534.800,0.795785
534.900,0.795754
535.000,0.795722
535.100,0.795691
535.200,0.795662
535.300,0.795631
535.400,0.795598
535.500,0.795567
535.600,0.795536
535.700,0.795507
535.800,0.795473
535.900,0.795442
536.000,0.795411
536.100,0.795380
536.200,0.795346
536.300,0.795315
536.400,0.795283
536.500,0.795249
536.600,0.795217
536.700,0.795186
536.800,0.795154
536.900,0.795119
537.000,0.795087
537.100,0.795056
537.200,0.795024
537.300,0.794988
537.400,0.794956
537.500,0.794924
537.600,0.794891
537.700,0.794856
537.800,0.794823
537.900,0.794790
538.000,0.794756
538.100,0.794720
538.200,0.794687
538.300,0.794653
538.400,0.794619
538.500,0.794583
538.600,0.794549
538.700,0.794515
538.800,0.794482
538.900,0.794444
539.000,0.794410
539.100,0.794376
539.200,0.794342
539.300,0.794303
539.400,0.794268
539.500,0.794234
539.600,0.794198
539.700,0.794160
539.800,0.794124
539.900,0.794088
540.000,0.794052
540.100,0.794013
540.200,0.793976
540.300,0.793941
540.400,0.793904
540.500,0.793864
540.600,0.793828
540.700,0.793791
540.800,0.793754
540.900,0.793714
541.000,0.793676
541.100,0.793638
541.200,0.793600
541.300,0.793559
541.400,0.793519
541.500,0.793481
541.600,0.793438
541.700,0.793400
541.800,0.793361
541.900,0.793321
542.000,0.793279
542.100,0.793239
542.200,0.793199
542.300,0.793160
542.400,0.793117
542.500,0.793075
542.600,0.793035
542.700,0.792993
542.800,0.792948
542.900,0.792905
543.000,0.792863
543.100,0.792820
543.200,0.792774
543.300,0.792731
543.400,0.792688
543.500,0.792645
543.600,0.792599
543.700,0.792554
543.800,0.792511
543.900,0.792467
544.000,0.792420
544.100,0.792374
544.200,0.792329
544.300,0.792283
544.400,0.792233
544.500,0.792187
544.600,0.792139
544.700,0.792092
544.800,0.792041
544.900,0.791993
545.000,0.791945
545.100,0.791896
545.200,0.791845
545.300,0.791797
545.400,0.791748
545.500,0.791699
545.600,0.791647
545.700,0.791596
545.800,0.791546
545.900,0.791495
546.000,0.791440
546.100,0.791388
546.200,0.791335
546.300,0.791282
546.400,0.791226
546.500,0.791173
546.600,0.791120
546.700,0.791066
546.800,0.791012
546.900,0.790958
547.000,0.790904
547.100,0.790849
547.200,0.790791
547.300,0.790734
547.400,0.790678
547.500,0.790621
547.600,0.790563
547.700,0.790504
547.800,0.790445
547.900,0.790386
548.000,0.790327
548.100,0.790267
548.200,0.790206
548.300,0.790146
548.400,0.790086
548.500,0.790025
548.600,0.789960
548.700,0.789899
548.800,0.789837
548.900,0.789774
549.000,0.789711
549.100,0.789647
549.200,0.789582
549.300,0.789516
549.400,0.789450
549.500,0.789384
549.600,0.789317
549.700,0.789249
549.800,0.789182
549.900,0.789112
550.000,0.789043
550.100,0.788975
550.200,0.788906
550.300,0.788837
550.400,0.788767
550.500,0.788697
550.600,0.788626
550.700,0.788554
550.800,0.788480
550.900,0.788406
551.000,0.788331
551.100,0.788256
551.200,0.788177
551.300,0.788101
551.400,0.788025
551.500,0.787949
551.600,0.787871
551.700,0.787794
551.800,0.787716
551.900,0.787638
552.000,0.787560
552.100,0.787479
552.200,0.787399
552.300,0.787318
552.400,0.787235
552.500,0.787151
552.600,0.787063
552.700,0.786980
552.800,0.786894
552.900,0.786808
553.000,0.786723
553.100,0.786636
553.200,0.786549
553.300,0.786461
553.400,0.786374
